user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
_linnhanhcuteee,75.6K,7502463590021090567,,2025-05-09 15:10:26,2025-05-14 09:38:12,00:15,860.5K,68.6K,1401,1385,3582,,https://www.tiktok.com/@_linnhanhcuteee/video/7502463590021090567,7502463626503113473,nhạc nền - Bôngg🐽,511 videos,Bôngg🐽,false
kienchoi01,2.1M,7479646916075113736,Sĩ diện tí với mấy đứa có người yêu 😂,2025-03-09 03:30:05,2025-05-14 09:38:42,00:18,,150.5K,2301,11.5K,9204,"xuhuong, kienchoi, phamthu",https://www.tiktok.com/@kienchoi01/video/7479646916075113736,7479647081662139152,nhạc nền - Kiên Chổi ✅,32 videos,Kiên Chổi ✅,false
dinhducmanhh,341.3K,7501553107403279634,Cậu Mạnh lại phải mặc đồ nổi bật một chút cho cháu dễ tìm,2025-05-07 04:17:18,2025-05-14 09:38:54,00:19,2.5M,113.1K,725,16.2K,2724,"hocsinh, giaitri, genz, dinhducmanh",https://www.tiktok.com/@dinhducmanhh/video/7501553107403279634,7501553131684530945,nhạc nền - Đinh Mạnh,3 videos,Đinh Mạnh,false
gaidepbaclieu_013,1294,7484940165283155207,Đú trend cùng hội bạn🥳,2025-03-23 09:50:36,2025-05-14 09:39:07,00:38,1.4M,93.6K,2020,7287,5038,"viral, xh, xhhhhhhhhhhhhhhhhhhhhhhh, xuhuongtiktok2025",https://www.tiktok.com/@gaidepbaclieu_013/video/7484940165283155207,7484940200919632657,nhạc nền - Gai dep bac lieu,1 videos,Gai dep bac lieu,false
._mihchagne,8350,7498952302619790610,VN cỡ này nè!!,2025-04-30 04:04:51,2025-05-14 09:39:19,00:32,826.7K,60.9K,1896,3611,5177,"vietnam, giaiphongmiennam, giaiphongmiennam, xh",https://www.tiktok.com/@._mihchagne/video/7498952302619790610,7498952378717145873,nhạc nền - 𝐦𝐭𝐫𝐚𝐧𝐠⋆｡˚ 𓆝⋆｡˚,39 videos,𝐦𝐭𝐫𝐚𝐧𝐠⋆｡˚ 𓆝⋆｡˚,false
tamduongcongchua011,2231,7481475253202341137,ban be ncl,2025-03-14 01:44:58,2025-05-14 09:39:32,00:11,2.8M,204.3K,4719,23.2K,8525,"xuhuong, xuhuongtiktok, viral",https://www.tiktok.com/@tamduongcongchua011/video/7481475253202341137,7481475436220828417,nhạc nền - gai' dep 211😓,39 videos,gai' dep 211😓,false
trannhattan4,1.8M,7490434593414237495,Anh là công tử Đồng Nai,2025-04-07 05:11:47,2025-05-14 09:39:44,00:16,,252.9K,2102,3467,13.9K,"trending, fyp",https://www.tiktok.com/@trannhattan4/video/7490434593414237495,7488155341517654839,Nhạc vui,43K videos,Mìcuteeeeee,false
khuamatvuong,821K,7501294831856012552,Mấy bà mẹ khi vừa qua Ngày Của Mẹ,2025-05-06 11:35:03,2025-05-14 09:39:58,00:24,6.1M,295.9K,4977,51.2K,18.4K,"anhmatvuong, amvm",https://www.tiktok.com/@khuamatvuong/video/7501294831856012552,7471905990007327489,nhạc nền - Biliana Jackson,14.3K videos,Michris Jackson,false
ke_lam_duong_lac_loi,77.3K,7493534601420279047,Cố gắng cải tạo thật tốt để sớm trở về với gia đình e nhé,2025-04-15 13:41:24,2025-05-14 09:40:11,00:31,33.9M,882.6K,39.3K,39.9K,39.3K,"phapluat, cuocsong, toiphamnguyhiem, xuhuongtiktok2025",https://www.tiktok.com/@ke_lam_duong_lac_loi/video/7493534601420279047,7218822998655077147,nhạc nền - #ＨＮＧＯＣ🎶,2677 videos,#𝙃𝙉𝙂𝙊𝘾🎶,false
heo.dayroi,1008,7494502808998415624,Thế là họ bỏ lỡ nhau,2025-04-18 04:18:32,2025-05-14 09:40:23,00:11,2.1M,52.2K,3320,8430,871,"traibacgainam, traibac, viralvideo",https://www.tiktok.com/@heo.dayroi/video/7494502808998415624,,nhạc nền  - Trấn Thành,,,
tbnaudio,6303,7497874627776007470,[TRUYỆN] THA THỨ CHO ANH ĐƯỢC KHÔNG | TIỂU BẢO NHI AUDIO [PHẦN 1],2025-04-27 06:22:55,2025-05-14 09:40:33,06:54,,21.6K,67,519,3277,"radio, audio, nauankechuyen, tongtai, ngontinhlangman, ngontinh, ngontinh, drama, fyp, viral, tieubaonhiaudio",https://www.tiktok.com/@tbnaudio/video/7497874627776007470,7497874787361262379,nhạc nền - Tiểu Bảo Nhi Audio,1 videos,Tiểu Bảo Nhi Audio,false
ducmelauriel09876543,89.6K,7473810203641662727,,2025-02-21 10:00:40,2025-05-14 09:40:46,00:12,,80.6K,1337,1898,6997,hoathinh3dtrungquoc,https://www.tiktok.com/@ducmelauriel09876543/video/7473810203641662727,7473810226903403265,nhạc nền - điêu thuyền vdvd,22 videos,điêu thuyền vdvd,false
vv.kd27509,10.2K,7498694541151866120,vui nha vui nha,2025-04-29 11:24:36,2025-05-14 09:40:59,00:28,2.6M,250K,374,13.2K,17.4K,"vietnam, bodoihanhquan, qdndvn, vietnamtoiyeu",https://www.tiktok.com/@vv.kd27509/video/7498694541151866120,7498694574651919120,nhạc nền - Vk lẻ a Yong🐸,1 videos,KnDye♡,false
zanggggxinhhh_,1.2M,7477428299053026578,thanh xuân vườn trường >.<,2025-03-03 04:00:43,2025-05-14 09:41:12,00:14,25.2M,3.1M,18.3K,126.4K,259.4K,xuhuong,https://www.tiktok.com/@zanggggxinhhh_/video/7477428299053026578,,LDR - Sped Up - Shoti,,,
beatvn_viralworld,4.7M,7482098403963374856,Hình như có gì đó sai sai =))),2025-03-15 18:03:07,2025-05-14 09:41:22,01:03,,158.8K,3254,6922,8760,"beatviralworld, beatnetwork, bnetwork, beatvn, beatoflife",https://www.tiktok.com/@beatvn_viralworld/video/7482098403963374856,7482098461249948433,nhạc nền - Beatvn Viral World,1 videos,Beatvn Viral World,false
leelee.0402,66.4K,7477922310289313042,Hehe,2025-03-04 11:57:44,2025-05-14 09:41:35,00:28,4.4M,392.7K,2666,25.9K,21K,"leelee, 한국어, tiktokgiaitri",https://www.tiktok.com/@leelee.0402/video/7477922310289313042,7477922388705856273,nhạc nền - Leelee🧚🏻‍♀️,2 videos,Leelee🦋,false
zanggggxinhhh_,1.2M,7503404152077258002,thanh xuân vườn trườnggg,2025-05-12 04:00:18,2025-05-14 09:41:48,00:11,2.4M,217.9K,534,2042,10.5K,xuhuong,https://www.tiktok.com/@zanggggxinhhh_/video/7503404152077258002,,original sound  - Stan :),,,
,,7479246574183271688,,2025-03-08 01:36:33,2025-05-14 09:41:58,,,3121,,,,,,,,,,
10c8.kt.ni.yu.thn,23.1K,7479246574183271688,Đang mơ mà..,2025-03-08 01:36:33,2025-05-14 09:42:41,00:11,34.2M,3.9M,17.1K,795.1K,205.9K,xhhhhhhhhhhhhhhhhhhhhhhh,https://www.tiktok.com/@10c8.kt.ni.yu.thn/video/7479246574183271688,7479246616612834064,nhạc nền - 10c8 kết nối yêu thương,41 videos,10c8 kết nối yêu thương,false
