user_name,user_nfollower,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
00.25.d,196.4K,7485885828065971463,The look of love,2025-03-25 23:00:15,2025-06-05 11:12:55,00:22,,15.9K,51,369,1896,"articmonkeys, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7485885828065971463,7304715980654054176,original sound,1.6M videos,☆☆,false
00.25.d,196.4K,7486013721811225864,ME JALO,2025-03-26 07:16:33,2025-06-05 11:13:13,00:15,,261.7K,432,6423,27.2K,"fuerzaregida, lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7486013721811225864,7477418977808878391,sonido original,244.1K videos,Diana Cuéllar,false
00.25.d,196.4K,7486117486950223122,lovers / enemies,2025-03-26 13:59:12,2025-06-05 11:13:28,00:16,,165,1,7,6,"lyrics, lyricsvideo, lyrics_songs, musicvideos, lyricsmusic, lyricsedits, lyricsedit, edits, kenlyrics, fyp, foryou, foryoupage",https://www.tiktok.com/@00.25.d/video/7486117486950223122,7484279229971548161,lovers / enemies,23 videos,updog,false
lavieenrose2107,71.3K,7495262852060663047,Nhanh các bác ơi không là không kịp❗️❗️❗️,2025-04-20 05:27:54,2025-06-05 11:13:58,00:00,,212,30,4,18,"capcut, hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, dcgr, giaiphongmiennam, vietnam, doclap, hoabinh, yeunuoc, toiyeuvietnam, vietnamtoiyeu, aff, tiktokshop, aovietnam, thoitrang, charm, pandora",https://www.tiktok.com/@lavieenrose2107/video/7495262852060663047,7434449668957915905,nhạc nền - woowhasisb,45.9K videos,woowhasisb,false
lavieenrose2107,71.3K,7495595858726063377,Cơ hội & Thách thức cho Việt Nam trong thời gian tới❤️🇻🇳,2025-04-21 03:00:08,2025-06-05 11:14:12,00:47,,14.3K,1116,280,814,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, dcgr, vietnam, kinhte, chinhtri, learnontiktok, doanhnghiep, kinhdoanh, fyp, viral, xuhuong, thinhhanh, trending",https://www.tiktok.com/@lavieenrose2107/video/7495595858726063377,7495595935603411713,nhạc nền - Hani Babe,5 videos,Hani Babe,true
lavieenrose2107,71.3K,7496030365753068807,Tắm xong ai cũng iu luôn vì không còn “ghét” 😆,2025-04-22 07:06:14,2025-06-05 11:14:29,00:00,,3799,130,69,504,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, dcgr, vietnam, tiktokshop, gangtay, taytebaochet, taytbc, glaglow",https://www.tiktok.com/@lavieenrose2107/video/7496030365753068807,7430689043853477951,,,,false
lavieenrose2107,71.3K,7496042356584566036,,2025-04-22 07:52:46,2025-06-05 11:14:44,,,610,68,632,29,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, chatgpt, suaanh, photoshop, fyp, viral",https://www.tiktok.com/@lavieenrose2107/photo/7496042356584566036,7429884052989971217,nhạc nền - [N]hư ♡ [TT] Hà,54.9K videos,[N]hư•[N]guyễn•[ST],false
lavieenrose2107,71.3K,7496341520627272980,Mua mèo trả góp 🙈,2025-04-23 03:13:41,2025-06-05 11:15:01,01:13,,676,40,7,49,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, fyp, viral, dcgr, trungquoc, kinhte, dichvu, thucung, pets, petshop, muaban, chomeo, kinhdoanh, xuhuong, thinhhanh",https://www.tiktok.com/@lavieenrose2107/video/7496341520627272980,7274026617033558077,UNSTOPPABLE EVENING,278.5K videos,,false
lavieenrose2107,71.3K,7496369308163968273,Gặp mợ thì cứ 10 ngày là có 2 nô tì xuống giếng 🫠,2025-04-23 05:01:31,2025-06-05 11:15:19,,,26K,691,2754,3408,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, fyp, viral, dcgr, vietnam, hue, langkhaidinh, chupanh, chupanhdep, chupanhnghethuat, anhdep, xuhuong, cophuc, cophucvietnam, aodai, aodaivietnam, yeuvietnam, vanhoa, truyenthong",https://www.tiktok.com/@lavieenrose2107/photo/7496369308163968273,7200710554493684506,nhạc nền - 英子❋,5094 videos,英子❋,false
lavieenrose2107,71.3K,7497114626736360720,Hết “ghét” nổi😬😬😬,2025-04-25 05:13:44,2025-06-05 11:15:38,00:00,,411,13,8,51,"hanibabe, hanireviewchanthatkhongnoidieu, haniotrungquoc, fyp, viral, dcgr, xuhuong, tiktokshop, gangtay, gangtaytebaochet, glaglow, gangtam, skincare, lamsach, chamsoc, chamsoccothe",https://www.tiktok.com/@lavieenrose2107/video/7497114626736360720,7497114677651393297,nhạc nền - Hani Babe,1 videos,Hani Babe,true
