user_name,user_followers,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
huy.mt.pha,63.8K,7498221227379592456,,2025-04-28 04:47:54,2025-05-15 14:58:34,00:24,2.9M,106.1K,1157,1606,3795,,https://www.tiktok.com/@huy.mt.pha/video/7498221227379592456,7.346965835363552e+18,Gã Giang Hồ,16K videos,𝙆67 𝙈𝙪𝙨𝙞𝙘,False
lethibichtram4272,644,7480866971706199303,toang,2025-03-12 10:24:32,2025-05-15 14:58:48,00:28,2.8M,36.8K,1506,17.3K,2380,,https://www.tiktok.com/@lethibichtram4272/video/7480866971706199303,7.480867023422098e+18,nhạc nền - lethibichtram4272,4 videos,lethibichtram4272,True
miale0402,1M,7502825573283007751,Nên ăn tiệm nào ta?,2025-05-10 14:35:07,2025-05-15 14:59:04,00:16,9.2M,255.2K,36.4K,202.1K,7858,miale,https://www.tiktok.com/@miale0402/video/7502825573283007751,7.502825599577132e+18,nhạc nền - Mia Lê,134 videos,Mia Lê,False
theanh28trending,7.6M,7498752735651794184,XEM MÀ KHÔNG KÌM ĐƯỢC NƯỚC MẮT :((,2025-04-29 15:10:26,2025-05-15 14:59:20,02:27,,413.1K,4066,15.3K,28K,"theanh28trending, tiktokgiaitri, theanh28, tiktoknews, noivongtaylon, hoabinhdeplam, bandocheckinvn, proudvietnam, giaiphongmiennam, 30thang4, dieubinh",https://www.tiktok.com/@theanh28trending/video/7498752735651794184,,Take Your Ease Under The Stars - NS Records,,,
batanvlog01,1.6M,7479773207109651730,Lần Đầu Làm Mâm Mì Xào Trứng Gà Khổng lồ,2025-03-09 11:40:10,2025-05-15 14:59:31,02:23,45.2M,605.6K,16.7K,48.5K,37.8K,batanvlog,https://www.tiktok.com/@batanvlog01/video/7479773207109651730,7.479773305316363e+18,nhạc nền - Bà Tân Vlogs,81 videos,Bà Tân Vlogs,False
laumientayhuedong,74.5K,7473672384667553042,Ahihi Hồng Hài Nhi thả cá kèo uy tín và nét luôn ạ😘😘.                                         🍲 Lẩu Miền Tây Huệ Đông 🍲,2025-02-21 01:05:51,2025-05-15 14:59:46,00:13,34.5M,518.7K,13K,12.1K,34.1K,"lẩu_hải_sản_miền_tây, lẩu_cá_kèo_lá_giang, lẩu_mắm_miền_tây, trend, vietnam, xuhuongtiktok, bacgiang, laucakeo, dacsanmientay, laumam, xuhuong, 358catrong",https://www.tiktok.com/@laumientayhuedong/video/7473672384667553042,,Thương Thì Thôi ( Ciray Remix #2 ) - Jank,,,
venmanbian25,121.7K,7500836494081330454,,2025-05-05 05:56:28,2025-05-15 14:59:57,01:58,2.7M,63.1K,748,1989,4691,"kienthucthuvi, kinhdi, learnontiktok, truyenthuyetdothi",https://www.tiktok.com/@venmanbian25/video/7500836494081330454,7.500836511164796e+18,nhạc nền - Vén Màn Bí Ẩn,3 videos,Vén Màn Bí Ẩn,False
tkhaff206,12.1K,7482593288436976903,bạn thân ơi đã sang phi phai,2025-03-17 02:03:31,2025-05-15 15:00:13,00:22,497.6K,42.6K,597,2947,2226,"freefire, thaikha, viral, xh",https://www.tiktok.com/@tkhaff206/video/7482593288436976903,7.25493463073753e+18,nhạc nền - Thuyseo🦪,12K videos,𝒎𝒂𝒊 𝒕𝒉𝒖ý🦪,False
tuyenxutv,3.6M,7499811959823486226,Anh Đưa Em Về Làm Dâu 😚,2025-05-02 11:40:45,2025-05-15 15:00:27,00:19,1.9M,112.8K,2133,1178,5247,"tuyenxu2003, vhpgame",https://www.tiktok.com/@tuyenxutv/video/7499811959823486226,7.495752238695026e+18,nhạc nền - 𝕋 𝕙 𝕖 𝕄 𝕠 𝕠 𝕕,3995 videos,𝕋 𝕙 𝕖 𝕄 𝕠 𝕠 𝕕,False
bdd4227,1.2M,7500883119818476818,Em ngủ rồi😵‍💫,2025-05-05 08:57:24,2025-05-15 15:00:43,01:00,1.8M,60.7K,1188,1924,5731,"xuhuong, freefire",https://www.tiktok.com/@bdd4227/video/7500883119818476818,7.500883457422413e+18,nhạc nền - White Toxic🇻🇳,6 videos,White Toxic🇻🇳,False
oskadoncoy1,330.5K,7481205527603727624,Duo God,2025-03-13 08:18:18,2025-05-15 15:00:58,01:28,2.3M,188.2K,1093,3374,20.5K,"narutouzumaki, sasukeuchiha, minato, tobirama, obito, narutoshippuden, anime, animeedit, fyp, fypシ゚",https://www.tiktok.com/@oskadoncoy1/video/7481205527603727624,7.47338829666206e+18,Butterfly,3634 videos,furikenn,False
